row_id,item_name,tp_value,yp_value,total_value,date_str,period_id
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),225170.0,0.0,225170.0,,627
1,Toplam Krediler (2+10),14321385.0,8555625.0,22877011.0,,626
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5565338.0,9706.0,5575045.0,,626
3,Tüketici Kredileri (4+5+6),2881138.0,191.0,2881330.0,,626
4,a) Konut,673845.0,58.0,673903.0,,626
5,b) Taşıt,51299.0,22.0,51322.0,,626
6,c) İhtiyaç,2155993.0,110.0,2156104.0,,626
7,Bireysel Kredi Kartları (8+9),2684200.0,9514.0,2693714.0,,626
8,a) Taksitli,1001843.0,0.0,1001843.0,,626
9,b) Taksitsiz,1682356.0,9514.0,1691870.0,,626
10,Ticari ve Diğer Krediler,8756046.0,8545919.0,17301966.0,,626
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3299962.0,988837.0,4288799.0,,626
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2470257.0,987996.0,3458254.0,,626
13,a) İşyeri,27175.0,6301.0,33477.0,,626
14,b) Taşıt,329798.0,29238.0,359036.0,,626
15,c) İhtiyaç,2113283.0,952456.0,3065739.0,,626
16,Kurumsal Kredi Kartları (17+18) (Bilgi),829704.0,841.0,830545.0,,626
17,a) Taksitli,210353.0,0.0,210353.0,,626
18,b) Taksitsiz,619351.0,841.0,620192.0,,626
19,KOBİ Kredileri (Bilgi),4964235.0,1185293.0,6149528.0,,626
20,Döv. Endeksli Krediler (Bilgi),713.0,0.0,713.0,,626
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),735337.0,0.0,735337.0,,626
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),217135.0,0.0,217135.0,,626
1,Toplam Krediler (2+10),14084139.0,8492297.0,22576436.0,,625
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5470001.0,10042.0,5480043.0,,625
3,Tüketici Kredileri (4+5+6),2835342.0,192.0,2835534.0,,625
4,a) Konut,669305.0,58.0,669364.0,,625
5,b) Taşıt,50042.0,22.0,50064.0,,625
6,c) İhtiyaç,2115993.0,111.0,2116105.0,,625
7,Bireysel Kredi Kartları (8+9),2634658.0,9849.0,2644508.0,,625
8,a) Taksitli,990739.0,0.0,990739.0,,625
9,b) Taksitsiz,1643919.0,9849.0,1653769.0,,625
10,Ticari ve Diğer Krediler,8614138.0,8482255.0,17096393.0,,625
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3249629.0,984478.0,4234108.0,,625
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2438120.0,983599.0,3421720.0,,625
13,a) İşyeri,27057.0,6279.0,33337.0,,625
14,b) Taşıt,320696.0,28246.0,348942.0,,625
15,c) İhtiyaç,2090365.0,949074.0,3039440.0,,625
16,Kurumsal Kredi Kartları (17+18) (Bilgi),811509.0,879.0,812388.0,,625
17,a) Taksitli,206045.0,0.0,206045.0,,625
18,b) Taksitsiz,605464.0,879.0,606343.0,,625
19,KOBİ Kredileri (Bilgi),4909595.0,1179547.0,6089142.0,,625
20,Döv. Endeksli Krediler (Bilgi),719.0,0.0,719.0,,625
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),722052.0,0.0,722052.0,,625
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),222203.0,0.0,222203.0,,625
1,Toplam Krediler (2+10),14025121.0,8432660.0,22457782.0,,624
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5493756.0,9952.0,5503709.0,,624
3,Tüketici Kredileri (4+5+6),2829895.0,195.0,2830090.0,,624
4,a) Konut,666556.0,59.0,666615.0,,624
5,b) Taşıt,50344.0,18.0,50362.0,,624
6,c) İhtiyaç,2112995.0,117.0,2113112.0,,624
7,Bireysel Kredi Kartları (8+9),2663861.0,9757.0,2673618.0,,624
8,a) Taksitli,976010.0,0.0,976010.0,,624
9,b) Taksitsiz,1687851.0,9757.0,1697608.0,,624
10,Ticari ve Diğer Krediler,8531364.0,8422708.0,16954073.0,,624
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3195572.0,976655.0,4172227.0,,624
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2395382.0,975908.0,3371291.0,,624
13,a) İşyeri,26842.0,6305.0,33148.0,,624
14,b) Taşıt,314829.0,28048.0,342878.0,,624
15,c) İhtiyaç,2053709.0,941554.0,2995264.0,,624
16,Kurumsal Kredi Kartları (17+18) (Bilgi),800190.0,746.0,800936.0,,624
17,a) Taksitli,200385.0,0.0,200385.0,,624
18,b) Taksitsiz,599804.0,746.0,600551.0,,624
19,KOBİ Kredileri (Bilgi),4866813.0,1177824.0,6044638.0,,624
20,Döv. Endeksli Krediler (Bilgi),719.0,0.0,719.0,,624
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),727231.0,0.0,727231.0,,624
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),226082.0,0.0,226082.0,,624
1,Toplam Krediler (2+10),13867127.0,8321847.0,22188974.0,,623
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5427054.0,10003.0,5437057.0,,623
3,Tüketici Kredileri (4+5+6),2788329.0,183.0,2788512.0,,623
4,a) Konut,662745.0,59.0,662804.0,,623
5,b) Taşıt,49490.0,18.0,49508.0,,623
6,c) İhtiyaç,2076093.0,106.0,2076199.0,,623
7,Bireysel Kredi Kartları (8+9),2638725.0,9819.0,2648545.0,,623
8,a) Taksitli,974644.0,0.0,974644.0,,623
9,b) Taksitsiz,1664080.0,9819.0,1673900.0,,623
10,Ticari ve Diğer Krediler,8440072.0,8311843.0,16751916.0,,623
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3161322.0,954367.0,4115689.0,,623
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2367268.0,953706.0,3320975.0,,623
13,a) İşyeri,26459.0,6319.0,32778.0,,623
14,b) Taşıt,308652.0,27456.0,336109.0,,623
15,c) İhtiyaç,2032156.0,919930.0,2952087.0,,623
16,Kurumsal Kredi Kartları (17+18) (Bilgi),794053.0,660.0,794714.0,,623
17,a) Taksitli,195664.0,0.0,195664.0,,623
18,b) Taksitsiz,598389.0,660.0,599049.0,,623
19,KOBİ Kredileri (Bilgi),4822089.0,1157966.0,5980055.0,,623
20,Döv. Endeksli Krediler (Bilgi),720.0,0.0,720.0,,623
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),712161.0,0.0,712161.0,,623
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),232382.0,0.0,232382.0,,623
1,Toplam Krediler (2+10),13821170.0,8260023.0,22081194.0,,622
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5410068.0,10756.0,5420825.0,,622
3,Tüketici Kredileri (4+5+6),2778756.0,182.0,2778939.0,,622
4,a) Konut,658894.0,58.0,658953.0,,622
5,b) Taşıt,49372.0,18.0,49390.0,,622
6,c) İhtiyaç,2070490.0,104.0,2070595.0,,622
7,Bireysel Kredi Kartları (8+9),2631312.0,10573.0,2641885.0,,622
8,a) Taksitli,965747.0,0.0,965747.0,,622
9,b) Taksitsiz,1665564.0,10573.0,1676138.0,,622
10,Ticari ve Diğer Krediler,8411101.0,8249267.0,16660368.0,,622
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3137067.0,952581.0,4089649.0,,622
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2325931.0,951664.0,3277596.0,,622
13,a) İşyeri,26313.0,6183.0,32497.0,,622
14,b) Taşıt,307890.0,27441.0,335331.0,,622
15,c) İhtiyaç,1991727.0,918039.0,2909767.0,,622
16,Kurumsal Kredi Kartları (17+18) (Bilgi),811135.0,916.0,812052.0,,622
17,a) Taksitli,193712.0,0.0,193712.0,,622
18,b) Taksitsiz,617423.0,916.0,618340.0,,622
19,KOBİ Kredileri (Bilgi),4812420.0,1134978.0,5947398.0,,622
20,Döv. Endeksli Krediler (Bilgi),722.0,0.0,722.0,,622
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),711319.0,0.0,711319.0,,622
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),219991.0,0.0,219991.0,,622
1,Toplam Krediler (2+10),13630563.0,8213382.0,21843945.0,,621
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5321761.0,10257.0,5332018.0,,621
3,Tüketici Kredileri (4+5+6),2756730.0,177.0,2756907.0,,621
4,a) Konut,654295.0,59.0,654355.0,,621
5,b) Taşıt,48411.0,16.0,48427.0,,621
6,c) İhtiyaç,2054023.0,101.0,2054124.0,,621
7,Bireysel Kredi Kartları (8+9),2565031.0,10079.0,2575111.0,,621
8,a) Taksitli,957995.0,0.0,957995.0,,621
9,b) Taksitsiz,1607035.0,10079.0,1617115.0,,621
10,Ticari ve Diğer Krediler,8308801.0,8203125.0,16511926.0,,621
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3082540.0,952320.0,4034861.0,,621
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2303888.0,951445.0,3255333.0,,621
13,a) İşyeri,25603.0,6196.0,31800.0,,621
14,b) Taşıt,301647.0,27265.0,328913.0,,621
15,c) İhtiyaç,1976636.0,917983.0,2894620.0,,621
16,Kurumsal Kredi Kartları (17+18) (Bilgi),778652.0,875.0,779527.0,,621
17,a) Taksitli,191190.0,0.0,191190.0,,621
18,b) Taksitsiz,587461.0,875.0,588336.0,,621
19,KOBİ Kredileri (Bilgi),4748745.0,1137845.0,5886590.0,,621
20,Döv. Endeksli Krediler (Bilgi),718.0,0.0,718.0,,621
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),706569.0,0.0,706569.0,,621
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),222949.0,0.0,222949.0,,621
1,Toplam Krediler (2+10),13609159.0,8236109.0,21845268.0,,620
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5356346.0,9388.0,5365734.0,,620
3,Tüketici Kredileri (4+5+6),2747889.0,179.0,2748068.0,,620
4,a) Konut,651736.0,60.0,651797.0,,620
5,b) Taşıt,49266.0,15.0,49281.0,,620
6,c) İhtiyaç,2046886.0,102.0,2046988.0,,620
7,Bireysel Kredi Kartları (8+9),2608456.0,9209.0,2617666.0,,620
8,a) Taksitli,948131.0,0.0,948131.0,,620
9,b) Taksitsiz,1660325.0,9209.0,1669535.0,,620
10,Ticari ve Diğer Krediler,8252813.0,8226720.0,16479533.0,,620
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3060744.0,957695.0,4018440.0,,620
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2293887.0,956942.0,3250830.0,,620
13,a) İşyeri,25265.0,6231.0,31496.0,,620
14,b) Taşıt,299464.0,26872.0,326336.0,,620
15,c) İhtiyaç,1969157.0,923839.0,2892997.0,,620
16,Kurumsal Kredi Kartları (17+18) (Bilgi),766857.0,752.0,767610.0,,620
17,a) Taksitli,190356.0,0.0,190356.0,,620
18,b) Taksitsiz,576501.0,752.0,577253.0,,620
19,KOBİ Kredileri (Bilgi),4709625.0,1143339.0,5852965.0,,620
20,Döv. Endeksli Krediler (Bilgi),712.0,0.0,712.0,,620
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),704771.0,0.0,704771.0,,620
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),223108.0,0.0,223108.0,,620
1,Toplam Krediler (2+10),13434812.0,8173359.0,21608171.0,,619
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5243413.0,7941.0,5251354.0,,619
3,Tüketici Kredileri (4+5+6),2702001.0,175.0,2702177.0,,619
4,a) Konut,647202.0,57.0,647260.0,,619
5,b) Taşıt,48916.0,14.0,48931.0,,619
6,c) İhtiyaç,2005882.0,102.0,2005984.0,,619
7,Bireysel Kredi Kartları (8+9),2541411.0,7766.0,2549177.0,,619
8,a) Taksitli,939015.0,0.0,939015.0,,619
9,b) Taksitsiz,1602396.0,7766.0,1610162.0,,619
10,Ticari ve Diğer Krediler,8191399.0,8165417.0,16356817.0,,619
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3034238.0,953791.0,3988030.0,,619
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2276201.0,953082.0,3229283.0,,619
13,a) İşyeri,24808.0,6244.0,31053.0,,619
14,b) Taşıt,298121.0,26741.0,324862.0,,619
15,c) İhtiyaç,1953271.0,920096.0,2873368.0,,619
16,Kurumsal Kredi Kartları (17+18) (Bilgi),758036.0,709.0,758746.0,,619
17,a) Taksitli,187276.0,0.0,187276.0,,619
18,b) Taksitsiz,570760.0,709.0,571470.0,,619
19,KOBİ Kredileri (Bilgi),4677555.0,1130452.0,5808007.0,,619
20,Döv. Endeksli Krediler (Bilgi),726.0,0.0,726.0,,619
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),689588.0,0.0,689588.0,,619
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),226192.0,0.0,226192.0,,619
1,Toplam Krediler (2+10),13452745.0,8128108.0,21580854.0,,618
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5275254.0,9205.0,5284460.0,,618
3,Tüketici Kredileri (4+5+6),2692771.0,175.0,2692947.0,,618
4,a) Konut,642165.0,57.0,642222.0,,618
5,b) Taşıt,49577.0,14.0,49591.0,,618
6,c) İhtiyaç,2001029.0,103.0,2001132.0,,618
7,Bireysel Kredi Kartları (8+9),2582483.0,9029.0,2591513.0,,618
8,a) Taksitli,934434.0,0.0,934434.0,,618
9,b) Taksitsiz,1648048.0,9029.0,1657078.0,,618
10,Ticari ve Diğer Krediler,8177491.0,8118903.0,16296394.0,,618
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3029978.0,949128.0,3979106.0,,618
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2252367.0,948173.0,3200541.0,,618
13,a) İşyeri,24548.0,6258.0,30807.0,,618
14,b) Taşıt,295697.0,27967.0,323664.0,,618
15,c) İhtiyaç,1932121.0,913947.0,2846069.0,,618
16,Kurumsal Kredi Kartları (17+18) (Bilgi),777610.0,955.0,778565.0,,618
17,a) Taksitli,183236.0,0.0,183237.0,,618
18,b) Taksitsiz,594373.0,954.0,595327.0,,618
19,KOBİ Kredileri (Bilgi),4678861.0,1125678.0,5804540.0,,618
20,Döv. Endeksli Krediler (Bilgi),729.0,0.0,729.0,,618
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),690887.0,0.0,690887.0,,618
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),227405.0,0.0,227405.0,,618
1,Toplam Krediler (2+10),13263272.0,8141799.0,21405072.0,,617
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5157106.0,8363.0,5165469.0,,617
3,Tüketici Kredileri (4+5+6),2653133.0,172.0,2653306.0,,617
4,a) Konut,638762.0,58.0,638820.0,,617
5,b) Taşıt,49235.0,12.0,49247.0,,617
6,c) İhtiyaç,1965136.0,101.0,1965238.0,,617
7,Bireysel Kredi Kartları (8+9),2503972.0,8190.0,2512163.0,,617
8,a) Taksitli,932320.0,0.0,932320.0,,617
9,b) Taksitsiz,1571652.0,8190.0,1579843.0,,617
10,Ticari ve Diğer Krediler,8106166.0,8133436.0,16239602.0,,617
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),2976551.0,949107.0,3925658.0,,617
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2216138.0,948145.0,3164283.0,,617
13,a) İşyeri,23853.0,6113.0,29967.0,,617
14,b) Taşıt,293023.0,28109.0,321133.0,,617
15,c) İhtiyaç,1899260.0,913921.0,2813182.0,,617
16,Kurumsal Kredi Kartları (17+18) (Bilgi),760412.0,962.0,761375.0,,617
17,a) Taksitli,185141.0,0.0,185141.0,,617
18,b) Taksitsiz,575271.0,962.0,576233.0,,617
19,KOBİ Kredileri (Bilgi),4619348.0,1129697.0,5749046.0,,617
20,Döv. Endeksli Krediler (Bilgi),733.0,0.0,733.0,,617
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),667620.0,0.0,667620.0,,617
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),215954.0,0.0,215954.0,,617
1,Toplam Krediler (2+10),13146531.0,8161414.0,21307946.0,,616
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5095351.0,7724.0,5103075.0,,616
3,Tüketici Kredileri (4+5+6),2624043.0,174.0,2624217.0,,616
4,a) Konut,633856.0,59.0,633915.0,,616
5,b) Taşıt,48939.0,12.0,48952.0,,616
6,c) İhtiyaç,1941247.0,102.0,1941349.0,,616
7,Bireysel Kredi Kartları (8+9),2471307.0,7550.0,2478858.0,,616
8,a) Taksitli,929724.0,0.0,929724.0,,616
9,b) Taksitsiz,1541583.0,7550.0,1549134.0,,616
10,Ticari ve Diğer Krediler,8051180.0,8153690.0,16204870.0,,616
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),2949929.0,962093.0,3912023.0,,616
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2204182.0,961252.0,3165434.0,,616
13,a) İşyeri,23695.0,6134.0,29830.0,,616
14,b) Taşıt,291258.0,27982.0,319240.0,,616
15,c) İhtiyaç,1889228.0,927135.0,2816363.0,,616
16,Kurumsal Kredi Kartları (17+18) (Bilgi),745747.0,841.0,746588.0,,616
17,a) Taksitli,181570.0,0.0,181570.0,,616
18,b) Taksitsiz,564176.0,841.0,565018.0,,616
19,KOBİ Kredileri (Bilgi),4584135.0,1125267.0,5709403.0,,616
20,Döv. Endeksli Krediler (Bilgi),735.0,0.0,735.0,,616
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),654039.0,0.0,654039.0,,616
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),219608.0,0.0,219608.0,,616
